更新时间,#genre#
2025-01-23 06:23:06,url
📺央视频道,#genre#
CCTV-1,http://221.219.79.161:4000/rtp/239.3.1.129:8008$组播源|1920x1080
CCTV-1,http://122.9.151.210:8088/rtp/238.255.2.91:5999$组播源
CCTV-1,http://122.9.151.210:6209/rtp/238.255.2.91:5999$组播源
CCTV-2,http://122.9.151.210:8088/rtp/238.255.2.11:5999$组播源
CCTV-2,http://122.9.151.210:6209/rtp/238.255.2.11:5999$组播源
CCTV-2,http://221.219.79.161:4000/rtp/239.3.1.60:8084$组播源|1920x1080
CCTV-3,http://122.9.151.210:8088/rtp/238.255.2.133:5999$组播源
CCTV-3,http://122.9.151.210:6209/rtp/238.255.2.133:5999$组播源
CCTV-3,http://221.219.79.161:4000/rtp/239.3.1.172:8001$组播源|1920x1080
CCTV-4,http://122.9.151.210:8088/rtp/238.255.2.213:5999$组播源
CCTV-4,http://122.9.151.210:8088/rtp/238.255.2.92:5999$组播源
CCTV-4,http://122.9.151.210:6209/rtp/238.255.2.213:5999$组播源
CCTV-5,http://122.9.151.210:8088/rtp/238.255.2.134:5999$组播源
CCTV-5,http://122.9.151.210:887/rtp/238.255.2.134:5999$组播源
CCTV-5,http://122.9.151.210:6209/rtp/238.255.2.134:5999$组播源
CCTV-5+,http://122.9.151.210:887/rtp/238.255.2.185:5999$组播源
CCTV-5+,http://122.9.151.210:2498/rtp/238.255.2.185:5999$组播源
CCTV-5+,http://122.9.151.210:2693/rtp/238.255.2.185:5999$组播源
CCTV-6,http://122.9.151.210:8088/rtp/238.255.2.135:5999$组播源
CCTV-6,http://122.9.151.210:6209/rtp/238.255.2.135:5999$组播源
CCTV-6,http://221.219.79.161:4000/rtp/239.3.1.174:8001$组播源|1920x1080
CCTV-7,http://122.9.151.210:8088/rtp/238.255.2.12:5999$组播源
CCTV-7,http://122.9.151.210:6209/rtp/238.255.2.12:5999$组播源
CCTV-7,http://221.219.79.161:4000/rtp/239.3.1.61:8104$组播源|1920x1080
CCTV-8,http://122.9.151.210:8088/rtp/238.255.2.136:5999$组播源
CCTV-8,http://122.9.151.210:6209/rtp/238.255.2.136:5999$组播源
CCTV-8,http://221.219.79.161:4000/rtp/239.3.1.175:8001$组播源|1920x1080
CCTV-9,http://122.9.151.210:8088/rtp/238.255.2.155:5999$组播源
CCTV-9,http://122.9.151.210:6209/rtp/238.255.2.155:5999$组播源
CCTV-9,http://221.219.79.161:4000/rtp/239.3.1.62:8112$组播源|1920x1080
CCTV-10,http://122.9.151.210:8088/rtp/238.255.2.13:5999$组播源
CCTV-10,http://122.9.151.210:6209/rtp/238.255.2.13:5999$组播源
CCTV-10,http://221.219.79.161:4000/rtp/239.3.1.63:8116$组播源|1920x1080
CCTV-11,http://122.9.151.210:8088/rtp/238.255.2.14:5999$组播源
CCTV-11,http://122.9.151.210:6209/rtp/238.255.2.14:5999$组播源
CCTV-11,http://221.219.79.161:4000/rtp/239.3.1.152:8120$组播源|1920x1080
CCTV-12,http://122.9.151.210:8088/rtp/238.255.2.15:5999$组播源
CCTV-12,http://122.9.151.210:6209/rtp/238.255.2.15:5999$组播源
CCTV-12,http://221.219.79.161:4000/rtp/239.3.1.64:8124$组播源|1920x1080
CCTV-13,http://122.9.151.210:8088/rtp/238.255.2.16:5999$组播源
CCTV-13,http://122.9.151.210:6209/rtp/238.255.2.16:5999$组播源
CCTV-13,http://221.219.79.161:4000/rtp/239.3.1.124:8128$组播源|1920x1080
CCTV-14,http://122.9.151.210:8088/rtp/238.255.2.17:5999$组播源
CCTV-14,http://122.9.151.210:6209/rtp/238.255.2.17:5999$组播源
CCTV-14,http://221.219.79.161:4000/rtp/239.3.1.65:8132$组播源|1920x1080
CCTV-15,http://122.9.151.210:8088/rtp/238.255.2.18:5999$组播源
CCTV-15,http://122.9.151.210:6209/rtp/238.255.2.18:5999$组播源
CCTV-15,http://221.219.79.161:4000/rtp/239.3.1.153:8136$组播源|1920x1080
CCTV-16,http://122.9.151.210:8088/rtp/238.255.2.219:5999$组播源
CCTV-16,http://122.9.151.210:6209/rtp/238.255.2.219:5999$组播源
CCTV-16,http://221.219.79.161:4000/rtp/239.3.1.183:8001$组播源|1920x1080
CCTV-17,http://122.9.151.210:8088/rtp/238.255.2.137:5999$组播源
CCTV-17,http://122.9.151.210:6209/rtp/238.255.2.137:5999$组播源
CCTV-17,http://221.219.79.161:4000/rtp/239.3.1.151:8144$组播源|1920x1080
CETV1,http://123.56.129.203:2244/rtp/225.1.8.169:4120$北京电信组播源
CETV1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227021/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ELlgU9sgTT7iMtFgKHFa-dA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源
CETV2,http://123.56.129.203:2244/rtp/225.1.8.193:4120$北京电信组播源
CETV4,http://123.56.129.203:2244/rtp/225.1.8.195:4120$北京电信组播源
CETV4,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226997/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EAw_OvjRgJVjtlaOa0dcgzg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$订阅源

💰央视付费频道,#genre#
央视台球,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_TAIQIU-CQ$订阅源
风云足球,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.229:80/PLTV/4/224/3221228668/1.m3u8?accountinfo=7Nbs4SAtmisdhfg9u9VfuRylKFo%2FsFe211XeT0tFiPe3sKM6ExysDo0g3A9CbIkx5b%2FFw3kQIXPRRrkOn3II%2B%2Fc0Ta4f4DIFOsGdGiU4JeF8fi9dPYnTHN8Os8jC4LZfFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024257%2C-1%2C36.156.32.22%2C20241026024257%2CG_FENGSHANGZQ-CQ%2C1734208109853_10%3A13%3A6D%3AA1%3A26%3A38%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436166_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_FENGSHANGZQ-CQ%2FG_FENGSHANGZQ-CQ&icpid=88888888&from=5&popid=5&hms_devid=6449&prioritypopid=5$订阅源
风云足球,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_FENGSHANGZQ-CQ$订阅源
世界地理,https://pi.0472.org/live/sjdl.m3u8?token=162210$订阅源|1280x720
世界地理,http://tptvh.mobaibox.com/hwcdnbacksourceflag_223.110.243.200:80/PLTV/4/224/3221228680/1.m3u8?accountinfo=iqf%2B%2FzVl%2BDwUCM587YmhVxYnN9tz7M5yQyLT6YcSOlC3sKM6ExysDo0g3A9CbIkxKC%2FWpogN2oDXZwE5U7VLVlZh%2Fit2Go0ns93wVa3gyyM9IWVIwKzNTTXWP6IWBZgKFgCcgHZcoIABWGUx4GF9bqeo84KrB1TAVruJzkRIWcU%3D%3A20241026024046%2C-1%2C36.156.32.22%2C20241026024046%2CG_SHIJIEDL-CQ%2C1734227797283_6F%3A4B%3AE6%3A16%3A74%3AD4%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000019436223_0%2CEND&GuardEncType=2&servicetype=1&unionUrl=gitv%2Flive1%2FG_SHIJIEDL-CQ%2FG_SHIJIEDL-CQ&icpid=88888888&from=5&popid=5&hms_devid=123&prioritypopid=5$订阅源
世界地理,http://dl.wifi942.com:66/jsyd/jsyd.php?id=G_SHIJIEDL-CQ$订阅源

📡卫视频道,#genre#
广东卫视,http://123.56.129.203:7004/rtp/225.1.8.151:8132$组播源
广东卫视,http://123.56.129.203:4310/rtp/225.1.8.151:8132$组播源
广东卫视,http://123.56.129.203:5431/rtp/225.1.8.151:8132$组播源
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8$订阅源
浙江卫视,http://122.9.151.210:8088/rtp/238.255.2.100:5999$组播源
浙江卫视,http://122.9.151.210:6209/rtp/238.255.2.100:5999$组播源
浙江卫视,http://221.219.79.161:4000/rtp/239.3.1.137:8036$组播源|1920x1080
湖南卫视,http://122.9.151.210:887/rtp/238.255.2.93:5999$组播源
湖南卫视,http://122.9.151.210:6209/rtp/238.255.2.93:5999$组播源
湖南卫视,http://221.219.79.161:4000/rtp/239.3.1.132:8012$组播源|1920x1080
北京卫视,http://122.9.151.210:8088/rtp/238.255.2.81:5999$组播源
北京卫视,http://122.9.151.210:6209/rtp/238.255.2.81:5999$组播源
北京卫视,http://221.219.79.161:4000/rtp/239.3.1.241:8000$组播源|1920x1080
湖北卫视,http://122.9.151.210:6209/rtp/238.255.2.102:5999$组播源
湖北卫视,http://122.9.151.210:8088/rtp/238.255.2.102:5999$组播源
湖北卫视,http://221.219.79.161:4000/rtp/239.3.1.138:8044$组播源|1920x1080
黑龙江卫视,http://122.9.151.210:6209/rtp/238.255.2.96:5999$组播源
黑龙江卫视,http://122.9.151.210:8088/rtp/238.255.2.96:5999$组播源
黑龙江卫视,http://221.219.79.161:4000/rtp/239.3.1.133:8016$组播源|1920x1080
安徽卫视,http://122.9.151.210:8088/rtp/238.255.2.101:5999$组播源
安徽卫视,http://122.9.151.210:6209/rtp/238.255.2.101:5999$组播源
安徽卫视,http://221.219.79.161:4000/rtp/239.3.1.211:8064$组播源|1920x1080
重庆卫视,http://122.9.151.210:6209/rtp/238.255.2.78:5999$组播源
重庆卫视,http://221.219.79.161:4000/rtp/239.3.1.122:8160$组播源|1920x1080
重庆卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000001096/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001096&livemode=1&stbId=no$订阅源
东方卫视,http://122.9.151.210:887/rtp/238.255.2.98:5999$组播源
东方卫视,http://122.9.151.210:8088/rtp/238.255.2.98:5999$组播源
东方卫视,http://122.9.151.210:6209/rtp/238.255.2.98:5999$组播源
东南卫视,http://122.9.151.210:8088/rtp/238.255.2.103:5999$组播源
东南卫视,http://122.9.151.210:6209/rtp/238.255.2.103:5999$组播源
东南卫视,http://221.219.79.161:4000/rtp/239.3.1.156:8148$组播源|1920x1080
甘肃卫视,http://122.9.151.210:6209/rtp/238.255.2.73:5999$组播源
甘肃卫视,http://122.9.151.210:8088/rtp/238.255.2.73:5999$组播源
甘肃卫视,http://221.219.79.161:4000/rtp/239.3.1.49:8188$组播源|1920x1080
广西卫视,http://122.9.151.210:8088/rtp/238.255.2.64:5999$组播源
广西卫视,http://122.9.151.210:6209/rtp/238.255.2.64:5999$组播源
广西卫视,http://221.219.79.161:4000/rtp/239.3.1.39:8300$组播源|1920x1080
贵州卫视,http://122.9.151.210:8088/rtp/238.255.2.1:5999$组播源
贵州卫视,http://122.9.151.210:6209/rtp/238.255.2.1:5999$组播源
贵州卫视,http://221.219.79.161:4000/rtp/239.3.1.149:8076$组播源|1920x1080
海南卫视,http://122.9.151.210:8088/rtp/238.255.2.58:5999$组播源
海南卫视,http://122.9.151.210:6209/rtp/238.255.2.58:5999$组播源
海南卫视,http://221.219.79.161:4000/rtp/239.3.1.45:8304$组播源|1920x1080
河北卫视,http://122.9.151.210:8088/rtp/238.255.2.77:5999$组播源
河北卫视,http://122.9.151.210:6209/rtp/238.255.2.77:5999$组播源
河北卫视,http://221.219.79.161:4000/rtp/239.3.1.148:8072$组播源|1920x1080
河南卫视,http://122.9.151.210:8088/rtp/238.255.2.74:5999$组播源
河南卫视,http://122.9.151.210:6209/rtp/238.255.2.74:5999$组播源
河南卫视,http://221.219.79.161:4000/rtp/239.3.1.27:8128$组播源|1920x1080
吉林卫视,http://122.9.151.210:8088/rtp/238.255.2.95:5999$组播源
吉林卫视,http://122.9.151.210:6209/rtp/238.255.2.95:5999$组播源
吉林卫视,http://221.219.79.161:4000/rtp/239.3.1.240:8172$组播源|1920x1080
江苏卫视,http://122.9.151.210:8088/rtp/238.255.2.104:5999$组播源
江苏卫视,http://122.9.151.210:6209/rtp/238.255.2.104:5999$组播源
江苏卫视,http://221.219.79.161:4000/rtp/239.3.1.135:8028$组播源|1920x1080
江西卫视,http://122.9.151.210:8088/rtp/238.255.2.94:5999$组播源
江西卫视,http://122.9.151.210:6209/rtp/238.255.2.94:5999$组播源
江西卫视,http://221.219.79.161:4000/rtp/239.3.1.123:8164$组播源|1920x1080
辽宁卫视,http://122.9.151.210:6209/rtp/238.255.2.69:5999$组播源
辽宁卫视,http://221.219.79.161:4000/rtp/239.3.1.210:8056$组播源|1920x1080
辽宁卫视,http://111.61.236.247:9081/hls/30/index.m3u8$订阅源
内蒙古卫视,http://122.9.151.210:8088/rtp/238.255.2.53:5999$组播源
内蒙古卫视,http://122.9.151.210:6209/rtp/238.255.2.53:5999$组播源
